Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,day,month
2018/01/17,235.8443604,57.4853096,97.14881134,224.1300049,156.0775299,69.44129944,196.4900055,12.18000031,115.0681839,10.04758167,203.8903198,41.99840164,71.09602356,162.1463013,65.40000153,68.26625824,123.3612747,119.9712677,122.1200027,272.25,82.69978333,171.0869141,252.2999115,37.92084885,100.3559189,1139.099976,1131.97998,63.41830444,1295,10.65753841,53.09180069,57.08049774,64.23118591,98.59963226,58.70108795,132.5083771,79.69565582,170.4576569,98.14619446,75.10207367,178.430542,91.26629639,92.21661377,155.75,244.0780945,133.6940308,63.81570816,44.3366127,38.54912567,174.3608856,55.60628891,91.88320923,38.69001389,30.04827118,262.8099976,61.65326691,91.03066254,77.84438324,33.6235199,113,117.7526169,788.0599976,161.6442871,114.848671,34.63156509,38.43172073,30.09947777,55.75759506,66.96264648,50.38225937,226.3142853,17,1
2018/01/18,233.7531433,57.56326675,96.6368103,225.8899994,156.7887115,68.88861847,196.1999969,12.47000027,115.247757,10.80677319,201.5733643,41.33843994,71.22429657,160.5494385,65.08000183,67.27341461,114.5768356,119.8565598,120.3499985,270.7000122,82.54264069,173.9138336,250.0334167,37.56114578,100.4138412,1135.969971,1129.790039,63.30982208,1293.319946,10.65753841,52.71115112,57.25715256,63.80768967,97.71891785,58.80622101,131.1022186,79.59906769,169.5980988,97.71990204,75.14159393,178.0319519,90.7158432,93.82800293,158.3399963,244.5679016,132.3032227,64.12706757,44.49860001,38.1914978,174.5166321,55.66447449,91.43144989,38.2833519,29.86133194,265.1900024,61.6340065,90.51219177,77.71917725,33.89725494,112.5500031,116.6431122,784.789978,159.6274261,116.5393295,33.15240097,38.18561935,30.38908195,53.31115341,67.94451904,51.19548035,227.0479126,18,1
2018/01/19,235.9108887,57.79714584,97.40946198,228.2899933,157.5778198,69.64855957,195.7299957,12.59000015,116.7341156,11.01297379,208.1315002,41.5201683,72.09252167,161.4152069,65.62999725,66.39621735,112.730545,120.4014511,121.0500031,269.4599915,84.6835556,175.5499725,255.7777252,37.30556107,100.124176,1143.5,1137.51001,64.29523468,1294.579956,10.65753841,52.49226761,56.98235321,63.77005768,95.92815399,58.82533264,133.4587555,80.1785965,170.7824097,96.9447937,76.0404892,179.6358643,91.54151154,92.76660156,161.5399933,244.9695587,132.4011383,65.22648621,44.11540604,38.21031189,173.7378387,55.66447449,91.84392548,38.73730469,29.73342514,270.8399963,61.88428116,90.32976532,77.85402679,33.95199966,115.2900009,117.164093,793.7999878,160.4931488,117.2252502,33.15240097,38.11670685,30.62076378,54.52474213,68.73981476,51.81959534,229.3856659,19,1
2018/01/22,235.0743866,58.05051422,99.13162231,228.1799927,157.2660675,70.36903381,197.8399963,12.64999962,117.7416382,10.66618061,210.065506,41.93623352,72.49702454,162.1847687,65.65000153,66.07811737,110.3206482,121.7110825,123.6699982,267.1000061,84.26126862,182.1525574,255.8070068,37.43808365,100.8290024,1164.160034,1155.810059,64.43987274,1327.310059,10.65753841,52.62549973,57.02160645,64.11825562,96.21194458,58.2996788,135.0297852,80.13030243,169.9514618,99.46385956,75.56633759,182.5304718,90.41113281,93.25871277,163.1300049,245.4006042,133.1847076,65.18756866,45.65776443,38.95381546,172.316452,55.72266388,91.87338257,40.43017578,29.9400444,275.6799927,62.32706833,90.28175354,78.40304565,34.55421448,117.4300003,118.4472656,788.7000122,161.8250427,116.6359329,33.92538071,37.17166138,30.83314133,55.59386063,68.92636871,51.89523697,231.5376434,22,1
2018/01/23,234.1333313,57.71918488,98.09832764,230.2700043,156.7302704,70.61576843,200.0899963,12.93999958,118.809021,10.70367336,209.0346832,42.12273788,72.45757294,163.1467133,66,66.96494293,109.8056259,122.0456696,125.5899963,272.1600037,83.81933594,182.0654449,254.7617035,38.01551437,97.75865936,1176.170044,1169.969971,64.59355927,1362.540039,10.64835072,53.35825729,57.20808029,64.7205658,95.87924194,59.5803566,136.9304962,81.32801056,170.3048401,99.60917664,76.0602417,182.2077637,90.25386047,93.08502197,161.8500061,245.4006042,134.5951233,64.99298096,45.76314545,39.84790039,172.3553925,56.04268646,91.16629028,40.29777527,29.8121357,273.1400146,62.14417267,90.99224854,79.23137665,33.93375397,118.7300034,117.8008499,786.3699951,164.2890625,115.679512,34.18304443,37.80169678,30.81383324,55.59386063,68.33724976,51.88578415,229.5813293,23,1
2018/01/24,235.4451141,60.14567566,98.21934509,232.9499969,156.4574738,69.16496277,197.7799988,12.71000004,120.6944046,10.45998192,207.591507,42.29011917,72.5956955,164.3106842,66.01999664,62.35730743,109.2225876,121.0419312,125.0100021,272.2799988,84.04521179,180.768158,253.5015106,37.72206116,96.42625427,1171.290039,1164.23999,64.69300079,1357.51001,10.79534912,53.04421997,53.77304459,64.44765472,97.17092896,61.47270966,137.4735718,80.89335632,172.2150574,101.3628235,75.96147156,180.9170685,89.64444733,91.99465942,161.5399933,247.8399353,135.9761353,64.99298096,46.09843826,39.61260986,169.6100159,55.16019821,91.86356354,40.51528931,29.98923874,273.1400146,62.68322754,91.76997375,79.22174072,33.77863693,116.9000015,116.6045227,793.3599854,163.442337,115.9886475,32.2362709,38.23483658,30.97794342,55.64201736,68.86746216,52.00870895,233.4254303,24,1
2018/01/25,239.8842468,61.60741043,100.8165588,236.3200073,156.6425629,69.89530182,197.5099945,12.40999985,120.624588,10.76928425,207.1497192,42.76357651,72.87195587,167.379303,66.87000275,59.83178711,113.5953674,121.3765106,124.9499969,273.5599976,83.81933594,181.1553802,247.01474,38.23323059,97.25660706,1182.140015,1170.369995,63.20135498,1377.949951,10.79534912,53.99586105,52.06533813,65.59580994,97.55257416,61.93146515,138.6372833,81.6467514,165.3574219,101.1206284,76.0404892,180.3950806,89.64444733,88.75257111,159.9299927,246.2333069,136.6813049,65.57675171,45.45659256,39.78202057,166.5823212,54.07406235,90.8323822,40.56258011,29.97939873,276.7600098,63.19340515,91.24188995,79.85744476,34.17098999,116.8700027,116.3826141,786.2999878,161.9011536,116.858139,30.83344841,38.59907532,30.97794342,54.75590515,69.76096344,51.71557236,237.0543823,25,1
2018/01/26,245.8442993,61.80230713,114.6962891,238.8899994,158.357193,71.57309723,201.3000031,12.94999981,123.3379364,10.9848547,211.8228607,43.51439667,73.81910706,163.3872223,67.62000275,62.21271896,111.1757736,120.8985367,128.0899963,283.9700012,84.82104492,180.9714508,255.8070068,38.14803696,97.06349945,1187.560059,1175.839966,64.20482635,1402.050049,10.79534912,54.16714478,52.08496857,64.70174408,97.49384308,61.81677246,140.7416687,82.04277039,171.7661743,102.1960602,77.12706757,186.0229187,91.14834595,90.54729462,163.9600067,252.9340668,140.520752,66.00485229,46.06012726,39.62202835,166.9717255,55.39293671,92.78672028,41.2245903,30.34344292,283.5,67.85227203,91.68354797,79.96338654,34.50859451,117.7799988,118.0227585,796.9500122,161.8155365,116.9160919,31.24379539,37.52606201,31.08413124,55.65164948,70.94900513,52.43424225,240.8984985,26,1
2018/01/29,243.3538208,61.69511414,113.8584824,236.6499939,157.0322723,71.50400543,198.2299957,13.31999969,122.5897598,11.06921005,205.3923798,42.82574463,73.53297424,160.3282166,67.25,63.11883163,108.522934,119.0248718,126.7900009,276.769989,85.12548828,181.3296661,250.5902863,37.49488068,94.65934753,1186.47998,1175.579956,63.12902832,1417.680054,10.79534912,53.17744827,51.70220947,63.90180206,97.27857208,61.41536331,139.9658508,80.88368988,169.4834442,101.8181915,76.54426575,187.9115601,90.55857849,90.48940277,162.75,251.7878723,139.4139709,65.01244354,44.69020081,39.01028442,163.5156708,53.65706635,93.1893692,40.77064133,29.77278328,277.9899902,67.15921783,90.58898926,79.33732605,33.99761963,116.3799973,116.5080566,786.710022,160.0650482,114.6457977,29.96503258,37.04368591,31.16135979,55.63230133,70.74281311,52.37750244,239.5780029,29,1
2018/01/30,239.1047821,60.84730911,107.8727798,235.0599976,155.5806885,70.67498779,196.8999939,12.86999989,118.9786072,10.88175583,199.511673,42.35707092,72.01358795,161.8961792,66.55999756,61.88497162,108.2217026,120.2102585,122.3600006,270.0799866,83.90773773,178.5027313,248.7145538,37.48151779,95.05521393,1177.369995,1163.689941,63.11997986,1437.819946,10.79534912,53.37729263,51.61387634,64.32529449,96.59357452,60.54564667,140.7610474,80.27518463,164.2876892,99.27008057,75.61574554,181.5244598,90.97141266,88.33766174,161.6799927,238.4843292,138.8361053,64.79782104,42.69758224,38.53971863,162.5518646,51.76602173,92.934021,40.17481995,29.43825531,275.230011,66.73567963,88.4382782,79.44327545,34.16186142,115.0199966,116.5562897,776.6699829,158.7521667,113.3512344,30.40401268,36.98462677,30.77521896,54.83921432,70.44824982,52.03707886,238.1792603,30,1
